Country/Region,Date,Cases,Lat,Long
Afghanistan,2021-02-07,55335,33.93911,67.709953
Afghanistan,2021-02-08,55359,33.93911,67.709953
Afghanistan,2021-02-09,55384,33.93911,67.709953
Afghanistan,2021-02-10,55402,33.93911,67.709953
Afghanistan,2021-02-11,55420,33.93911,67.709953
Afghanistan,2021-02-12,55445,33.93911,67.709953
Afghanistan,2021-02-13,55473,33.93911,67.709953
Afghanistan,2021-02-14,55492,33.93911,67.709953
Afghanistan,2021-02-15,55514,33.93911,67.709953
Afghanistan,2021-02-16,55518,33.93911,67.709953
Afghanistan,2021-02-17,55540,33.93911,67.709953
Afghanistan,2021-02-18,55557,33.93911,67.709953
Afghanistan,2021-02-19,55575,33.93911,67.709953
Afghanistan,2021-02-20,55580,33.93911,67.709953
Afghanistan,2021-02-21,55604,33.93911,67.709953
Afghanistan,2021-02-22,55617,33.93911,67.709953
Afghanistan,2021-02-23,55646,33.93911,67.709953
Afghanistan,2021-02-24,55664,33.93911,67.709953
Afghanistan,2021-02-25,55680,33.93911,67.709953
Afghanistan,2021-02-26,55696,33.93911,67.709953
Afghanistan,2021-02-27,55707,33.93911,67.709953
Afghanistan,2021-02-28,55714,33.93911,67.709953
Afghanistan,2021-03-01,55733,33.93911,67.709953
Afghanistan,2021-03-02,55759,33.93911,67.709953
Afghanistan,2021-03-03,55770,33.93911,67.709953
Afghanistan,2021-03-04,55775,33.93911,67.709953
Afghanistan,2021-03-05,55827,33.93911,67.709953
Afghanistan,2021-03-06,55840,33.93911,67.709953
Afghanistan,2021-03-07,55847,33.93911,67.709953
Afghanistan,2021-03-08,55876,33.93911,67.709953
Afghanistan,2021-03-09,55876,33.93911,67.709953
Afghanistan,2021-03-10,55894,33.93911,67.709953
Afghanistan,2021-03-11,55917,33.93911,67.709953
Afghanistan,2021-03-12,55959,33.93911,67.709953
Afghanistan,2021-03-13,55959,33.93911,67.709953
Afghanistan,2021-03-14,55985,33.93911,67.709953
Afghanistan,2021-03-15,55985,33.93911,67.709953
Afghanistan,2021-03-16,55995,33.93911,67.709953
Afghanistan,2021-03-17,56016,33.93911,67.709953
Afghanistan,2021-03-18,56044,33.93911,67.709953
Afghanistan,2021-03-19,56069,33.93911,67.709953
Afghanistan,2021-03-20,56093,33.93911,67.709953
Afghanistan,2021-03-21,56103,33.93911,67.709953
Afghanistan,2021-03-22,56153,33.93911,67.709953
Afghanistan,2021-03-23,56177,33.93911,67.709953
Afghanistan,2021-03-24,56192,33.93911,67.709953
Afghanistan,2021-03-25,56226,33.93911,67.709953
Afghanistan,2021-03-26,56254,33.93911,67.709953
Afghanistan,2021-03-27,56290,33.93911,67.709953
Afghanistan,2021-03-28,56294,33.93911,67.709953
Afghanistan,2021-03-29,56322,33.93911,67.709953
Afghanistan,2021-03-30,56384,33.93911,67.709953
Afghanistan,2021-03-31,56454,33.93911,67.709953
Afghanistan,2021-04-01,56517,33.93911,67.709953
Afghanistan,2021-04-02,56572,33.93911,67.709953
Afghanistan,2021-04-03,56595,33.93911,67.709953
Afghanistan,2021-04-04,56676,33.93911,67.709953
Afghanistan,2021-04-05,56717,33.93911,67.709953
Afghanistan,2021-04-06,56779,33.93911,67.709953
Afghanistan,2021-04-07,56873,33.93911,67.709953
Afghanistan,2021-04-08,56943,33.93911,67.709953
Afghanistan,2021-04-09,57019,33.93911,67.709953
Afghanistan,2021-04-10,57144,33.93911,67.709953
Afghanistan,2021-04-11,57160,33.93911,67.709953
Afghanistan,2021-04-12,57242,33.93911,67.709953
Afghanistan,2021-04-13,57364,33.93911,67.709953
Afghanistan,2021-04-14,57492,33.93911,67.709953
Afghanistan,2021-04-15,57534,33.93911,67.709953
Afghanistan,2021-04-16,57612,33.93911,67.709953
Afghanistan,2021-04-17,57721,33.93911,67.709953
Afghanistan,2021-04-18,57793,33.93911,67.709953
Afghanistan,2021-04-19,57898,33.93911,67.709953
Afghanistan,2021-04-20,58037,33.93911,67.709953
Afghanistan,2021-04-21,58214,33.93911,67.709953
Afghanistan,2021-04-22,58312,33.93911,67.709953
Afghanistan,2021-04-23,58542,33.93911,67.709953
Afghanistan,2021-04-24,58730,33.93911,67.709953
Afghanistan,2021-04-25,58843,33.93911,67.709953
Afghanistan,2021-04-26,59015,33.93911,67.709953
Afghanistan,2021-04-27,59225,33.93911,67.709953
Afghanistan,2021-04-28,59370,33.93911,67.709953
Afghanistan,2021-04-29,59576,33.93911,67.709953
Afghanistan,2021-04-30,59745,33.93911,67.709953
Afghanistan,2021-05-01,59939,33.93911,67.709953
Afghanistan,2021-05-02,60122,33.93911,67.709953
Afghanistan,2021-05-03,60300,33.93911,67.709953
Afghanistan,2021-05-04,60563,33.93911,67.709953
Afghanistan,2021-05-05,60797,33.93911,67.709953
Afghanistan,2021-05-06,61162,33.93911,67.709953
Afghanistan,2021-05-07,61455,33.93911,67.709953
Afghanistan,2021-05-08,61755,33.93911,67.709953
Afghanistan,2021-05-09,61842,33.93911,67.709953
Afghanistan,2021-05-10,62063,33.93911,67.709953
Afghanistan,2021-05-11,62403,33.93911,67.709953
Afghanistan,2021-05-12,62718,33.93911,67.709953
Afghanistan,2021-05-13,63045,33.93911,67.709953
Afghanistan,2021-05-14,63355,33.93911,67.709953
Afghanistan,2021-05-15,63412,33.93911,67.709953
Afghanistan,2021-05-16,63484,33.93911,67.709953
Afghanistan,2021-05-17,63598,33.93911,67.709953
Afghanistan,2021-05-18,63819,33.93911,67.709953
Afghanistan,2021-05-19,64122,33.93911,67.709953
Afghanistan,2021-05-20,64575,33.93911,67.709953
Afghanistan,2021-05-21,65080,33.93911,67.709953
Afghanistan,2021-05-22,65486,33.93911,67.709953
Afghanistan,2021-05-23,65728,33.93911,67.709953
Afghanistan,2021-05-24,66275,33.93911,67.709953
Afghanistan,2021-05-25,66903,33.93911,67.709953
Afghanistan,2021-05-26,67743,33.93911,67.709953
Afghanistan,2021-05-27,68366,33.93911,67.709953
Afghanistan,2021-05-28,69130,33.93911,67.709953
Afghanistan,2021-05-29,70111,33.93911,67.709953
Afghanistan,2021-05-30,70761,33.93911,67.709953
Afghanistan,2021-05-31,71838,33.93911,67.709953
Afghanistan,2021-06-01,72977,33.93911,67.709953
Afghanistan,2021-06-02,74026,33.93911,67.709953
Afghanistan,2021-06-03,75119,33.93911,67.709953
